group,n,median_lines,mean_lines,median_files,pct_huge,method
AI+nospec,5631,90.0,1356.2749067661161,4.0,19.907654057893804,two_bucket
AI+spec,2632,32.0,367.4209726443769,2.0,13.487841945288753,two_bucket
Human+nospec,67699,39.0,563.7989778283284,2.0,11.91598103369326,two_bucket
Human+spec,3393,50.0,436.1482463896257,2.0,11.405835543766578,two_bucket
AI+nospec,2345,55.0,775.9867803837953,3.0,14.541577825159916,tag_only
AI+spec,1427,0.0,283.6608269096006,2.0,8.969866853538893,tag_only
Human+nospec,70985,41.0,619.6537578361625,2.0,12.463196449954216,tag_only
Human+spec,4598,60.0,444.13201391909524,3.0,13.353632013919094,tag_only
AI(>0.3)+spec,3500,44.0,497.01057142857144,2.0,13.714285714285715,prob_0.3
AI(>0.3)+nospec,8785,83.0,1103.0389299943085,4.0,19.16903813318156,prob_0.3
Human(<=0.3)+spec,2523,40.0,280.2925089179548,2.0,10.384462940943322,prob_0.3
Human(<=0.3)+nospec,7689,47.0,706.4326960593055,2.0,11.106775913642867,prob_0.3
AI(>0.5)+spec,2314,36.0,361.1486603284356,2.0,14.088159031979256,prob_0.5
AI(>0.5)+nospec,5185,96.0,1410.68987463838,4.0,20.694310511089682,prob_0.5
Human(<=0.5)+spec,3709,46.0,434.35346454569964,2.0,11.21596117551901,prob_0.5
Human(<=0.5)+nospec,11289,54.0,691.6051908937904,3.0,12.977234476038621,prob_0.5
AI(>0.7)+spec,1339,37.0,398.60866318147873,3.0,17.251680358476477,prob_0.7
AI(>0.7)+nospec,2233,103.0,765.1948051948052,4.0,21.630094043887148,prob_0.7
Human(<=0.7)+spec,4684,42.0,408.4069171648164,2.0,10.909479077711358,prob_0.7
Human(<=0.7)+nospec,14241,60.0,941.8775366898392,3.0,14.43016642089741,prob_0.7
AI(>0.9)+spec,477,61.0,505.20754716981133,4.0,23.68972746331237,prob_0.9
AI(>0.9)+nospec,540,103.5,713.0185185185185,5.0,20.37037037037037,prob_0.9
Human(<=0.9)+spec,5546,41.0,397.71565091958166,2.0,11.34150739271547,prob_0.9
Human(<=0.9)+nospec,15934,63.0,924.8731015438684,3.0,15.237856156646165,prob_0.9
