analysis,metric,n_q1,n_q4,q1_rate,q4_rate,delta_pp,p_value,cohens_d,odds_ratio,n_pairs,above_median_rate,below_median_rate,n_high,n_low,high_rate,low_rate,variable,coefficient,std_error,z_value,significant,n_repos,positive,negative,tied
1_quartile_q1_vs_q4,strict_escaped,6300,6293,0.1,0.0,0.0,0.3180,0.018,1.999,,,,,,,,,,,,,,,,
1_quartile_q1_vs_q4,reworked,6300,6293,7.1,1.1,6.0,0.0000,0.308,7.097,,,,,,,,,,,,,,,,
2_within_author,strict_escaped,,,,,0.1,0.3734,0.034,,1256,0.1,0.1,,,,,,,,,,,,,
3_size_matched,strict_escaped,,,,,0.1,0.1441,,1.970,,,,11927,12522,0.1,0.1,,,,,,,,,
4_400loc_small,strict_escaped,,,,,-0.1,0.3321,,0.546,,,,9929,9938,0.1,0.1,,,,,,,,,
4_400loc_large,strict_escaped,,,,,-0.1,0.4528,,0.400,,,,2652,2653,0.1,0.2,,,,,,,,,
5_decompose,,,,,,,0.2678,,1.001,,,,,,,,engagement_density,0.0012,0.0011,1.108,no,,,,
5_decompose,,,,,,,0.6275,,0.971,,,,,,,,unique_reviewers,-0.0295,0.0607,-0.485,no,,,,
5_decompose,,,,,,,0.0419,,1.067,,,,,,,,review_rounds,0.0648,0.0318,2.034,yes,,,,
5_decompose,,,,,,,0.2650,,0.783,,,,,,,,genuine_questions,-0.2443,0.2191,-1.115,no,,,,
5_decompose,,,,,,,0.0121,,1.245,,,,,,,,challenge_count,0.2188,0.0872,2.508,yes,,,,
5_decompose,,,,,,,0.1794,,1.074,,,,,,,,log_additions,0.0710,0.0529,1.342,no,,,,
5_decompose,,,,,,,0.0511,,1.088,,,,,,,,log_deletions,0.0846,0.0434,1.951,no,,,,
5_decompose,,,,,,,0.6384,,1.051,,,,,,,,log_files,0.0495,0.1053,0.470,no,,,,
6_ai_interaction_human,strict_escaped,5734,5733,0.0,0.1,-0.0,0.6874,,0.666,,,,,,,,,,,,,,,,
6_ai_interaction_augmented,strict_escaped,560,560,0.4,0.7,-0.4,0.6867,,0.498,,,,,,,,,,,,,,,,
7_per_repo_sign,,,,,,,0.3018,,,,,,,,,,,,,,,97,5,10,82
