repo,pr_number,title,specd,classification,lines_changed,size_bucket,review_cycles,ttm_hours,rework,merged_at
cli/cli,12972,Remove auto-labels from issue templates,no,pending,6,small,0,0.1,no,2026-03-19T23:45:36Z
cli/cli,12894,Add monthly pitch surfacing workflow,no,pending,8,small,0,2.5,no,2026-03-10T16:02:10Z
cli/cli,12596,fix: clarify scope error while creating issues for projects,yes,escape,116,medium,0,691.6,no,2026-03-02T18:12:35Z
cli/cli,12956,fix(agent-task): resolve Copilot API URL dynamically,no,pending,199,medium,0,17.5,no,2026-03-18T18:14:02Z
cli/cli,12846,feat(repo): add --squash-merge-commit-message flag to gh repo edit,yes,pending,302,medium,1,124.3,no,2026-03-10T15:32:56Z
cli/cli,12911,Migrate Windows code signing from client secret to OIDC,yes,pending,14,small,0,8.4,no,2026-03-12T09:02:36Z
cli/cli,12914,"Revert ""refactor: deduplicate scope error handling between api/client.go and project queries""",yes,pending,70,small,0,0.2,no,2026-03-12T11:54:55Z
cli/cli,12915,"Revert ""fix: clarify scope error while creating issues for projects""",yes,pending,116,medium,0,0.2,no,2026-03-12T12:06:18Z
cli/cli,12864,Update Go version requirement to 1.26+,yes,machine_catch,8,small,0,0.6,no,2026-03-07T17:37:18Z
cli/cli,12860,Bump Go from 1.25.7 to 1.26.1,yes,machine_catch,4,small,0,5.0,no,2026-03-07T09:20:02Z
cli/cli,12854,`gh pr view` and `gh issue view`: show friendly display names for all actors,yes,human_save,109,medium,0,9.7,no,2026-03-07T03:45:39Z
cli/cli,12655,feat(pr diff): add --exclude flag to filter files from diff output,yes,pending,268,medium,2,652.8,no,2026-03-09T15:08:19Z
cli/cli,12845,refactor: deduplicate scope error handling between api/client.go and project queries,yes,escape,70,small,0,8.9,no,2026-03-05T17:31:25Z
cli/cli,12627,`gh pr create`: login-based reviewer requests and search-based interactive selection,yes,human_save,2252,large,0,671.4,no,2026-03-06T17:24:19Z
cli/cli,12838,Remove unnecessary StateReason and StateReasonDuplicate feature detection,yes,machine_catch,272,medium,0,14.4,no,2026-03-05T11:52:01Z
cli/cli,12831,Fix incorrect integer conversion from int to uint16 in port forwarder,yes,machine_catch,6,small,0,8.1,no,2026-03-04T12:01:53Z
cli/cli,12830,docs: add examples to gh issue close help text,no,human_save,16,small,0,11.1,no,2026-03-04T14:53:27Z
cli/cli,12811,Add `--duplicate-of` flag and duplicate reason to issue close,yes,human_save,374,medium,1,74.6,no,2026-03-04T03:42:05Z
cli/cli,12651,`issue develop`: prevent .git/config corruption on repeated `--name` invocation,yes,machine_catch,301,medium,0,543.8,no,2026-03-04T01:55:44Z
cli/cli,11714,build: customizable install `prefix`,yes,machine_catch,2,small,0,4163.3,no,2026-03-04T03:17:37Z
cli/cli,12623,fix(issue list): reject pull request-only search qualifiers,yes,human_save,60,small,1,619.1,no,2026-03-03T21:52:36Z
cli/cli,12657,feat(pr): add changeType field to files JSON output,yes,machine_catch,14,small,0,515.6,no,2026-03-03T23:04:00Z
cli/cli,12686,Add --no-upstream flag to repo clone,yes,machine_catch,140,medium,0,413.5,no,2026-03-03T23:01:05Z
cli/cli,12720,Fix invalid ANSI SGR escape code in JSON and diff colorization,yes,machine_catch,18,small,0,285.2,no,2026-03-02T22:12:15Z
cli/cli,11486,feat(browse): add blame flag,yes,machine_catch,95,small,0,4955.9,no,2026-03-04T02:17:35Z
cli/cli,12821,Set COPILOT_GH env var when launching Copilot CLI,yes,machine_catch,1,small,0,0.4,no,2026-03-02T15:34:20Z
cli/cli,12774,fix(licenses): isolate generated licenses per platform (os/arch),yes,human_save,353,medium,1,164.4,no,2026-03-03T12:12:34Z
cli/cli,12807,Add --json support to `gh agent-task view`,yes,machine_catch,159,medium,0,53.2,no,2026-03-02T20:36:06Z
cli/cli,12652,Fix redundant API call in gh issue view --comments (#12606),yes,machine_catch,21,small,0,511.8,no,2026-03-02T17:58:41Z
cli/cli,12806,Add --json support to `gh agent-task list`,yes,machine_catch,166,medium,0,53.2,no,2026-03-02T20:35:27Z
cli/cli,12787,fix: `gh project item-edit` error when editing Draft Issue with only one (title/body) flag,yes,machine_catch,270,medium,0,104.0,no,2026-03-02T19:19:53Z
cli/cli,12375,fix: error when --remote flag used with repo argument,yes,machine_catch,10,small,0,1594.8,no,2026-03-02T17:34:03Z
cli/cli,12781,Use pre-compiled regexp for matching Content-Type,no,machine_catch,4,small,0,126.5,no,2026-03-02T17:16:38Z
cli/cli,12757,Fix project mutation query variable usage,yes,machine_catch,135,medium,0,0.9,no,2026-02-23T15:10:27Z
cli/cli,12783,Add databaseId to assignees GraphQL fragment,no,machine_catch,58,small,0,76.0,no,2026-02-28T19:22:34Z
cli/cli,12731,fix(agent-task/capi): use a fixed CAPI API version,yes,machine_catch,3,small,0,0.1,no,2026-02-20T18:14:35Z
cli/cli,12716,Remove license bundling debris,yes,machine_catch,377,medium,0,0.7,no,2026-02-18T17:57:49Z
cli/cli,12714,Clean up project item-list query addition changes,yes,machine_catch,94,small,0,0.6,no,2026-02-18T16:58:56Z
cli/cli,12696,Add `--query` flag to `project item-list`,yes,human_save,779,large,1,50.5,no,2026-02-18T15:34:13Z
cli/cli,12711,`gh release upload`: Clarify `--clobber` flag deletes assets before re-uploading,yes,machine_catch,5,small,0,14.0,no,2026-02-18T15:11:24Z
cli/cli,12695,feat(workflow run): retrieve workflow dispatch run details,yes,machine_catch,634,large,0,31.6,no,2026-02-17T20:37:53Z
cli/cli,12708,Remove feedback issue template,no,machine_catch,28,small,0,2.4,no,2026-02-17T17:36:58Z
cli/cli,12625,Bundle licenses at release time,yes,human_save,17703,large,0,292.7,no,2026-02-18T16:59:27Z
cli/cli,12710,Add usage examples to `gh gist edit` command,yes,machine_catch,23,small,0,0.9,no,2026-02-17T20:35:11Z
cli/cli,12707,Migrate PR triage workflows to shared workflows,yes,machine_catch,285,medium,0,2.6,no,2026-02-17T17:36:42Z
cli/cli,12677,Migrate issue triage workflows to shared workflows,yes,machine_catch,297,medium,0,104.3,no,2026-02-17T14:49:39Z
cli/cli,12673,Fork with default branch only during pr create,yes,human_save,11,small,0,22.2,no,2026-02-13T14:50:38Z
cli/cli,12444,feat: add native copilot command to shim copilot cli,yes,human_save,1170,large,0,284.8,no,2026-01-19T18:27:52Z
cli/cli,12505,Update contributing guidelines for clarity,no,machine_catch,6,small,0,18.6,no,2026-01-21T16:50:23Z
cli/cli,12680,Pin REST API version to 2022-11-28,yes,machine_catch,62,small,0,0.2,no,2026-02-13T18:55:27Z
cli/cli,12679,Respect `--exit-status` with `--log` and `--log-failed` in `run view`,yes,machine_catch,67,small,0,4.1,no,2026-02-13T18:40:48Z
cli/cli,12701,Add missing TODO comments for featuredetection if-statements,yes,machine_catch,18,small,0,0.3,no,2026-02-16T21:41:48Z
cli/cli,12631,Add manual dispatch to bump-go workflow,no,machine_catch,1,small,0,65.9,no,2026-02-09T12:48:35Z
cli/cli,12630,Bump go to 1.25.7,no,machine_catch,2,small,0,0.1,no,2026-02-06T18:53:29Z
cli/cli,12376,fix: error when head and base refs are identical in pr create,yes,machine_catch,109,medium,0,630.1,no,2026-01-21T17:21:15Z
cli/cli,12567,"`gh pr edit`: Add support for Copilot as reviewer with search capability, performance and accessibility improvements",no,human_save,1050,large,0,227.7,no,2026-02-06T17:51:36Z
cli/cli,12573,chore: bump `cli/oauth` to `v1.2.2`,yes,machine_catch,12,small,0,0.1,no,2026-01-28T16:20:36Z
cli/cli,12580,update Go to 1.25.6,no,machine_catch,2,small,0,0.3,no,2026-01-29T18:55:18Z
cli/cli,12554,typo: dont to don't,no,machine_catch,2,small,0,3.5,no,2026-01-26T17:54:05Z
cli/cli,12526,"`gh pr edit`: new interactive prompt for assignee selection, performance and accessibility improvements",no,machine_catch,888,large,0,114.4,no,2026-01-27T16:16:26Z
cli/cli,12453,`gh pr edit`: adopt interactive assignee select with search,no,machine_catch,385,medium,0,336.6,no,2026-01-22T21:50:30Z
cli/cli,12516,Fix fmt.Errorf format argument in ParseFullReference,no,human_save,7,small,0,1.4,no,2026-01-21T23:38:50Z
cli/cli,12521,Lint source.md,no,machine_catch,6,small,0,2.8,no,2026-01-22T16:38:50Z
cli/cli,12101,feat(cache delete): allow for delete all caches for a ref,yes,machine_catch,98,small,0,1828.8,no,2026-01-20T19:16:47Z
cli/cli,12500,Fix Windows asset URL in `copilot` command tests,no,machine_catch,4,small,0,6.1,no,2026-01-20T16:39:36Z
cli/cli,12440,ci: enable noop linters,yes,machine_catch,29,small,0,7.2,no,2026-01-07T22:11:36Z
cli/cli,12429,CI: Add shell specification for temporary tag creation on Windows,no,machine_catch,1,small,0,0.3,no,2026-01-06T17:56:22Z
cli/cli,12377,feat: allow git remote names in gh repo set-default,yes,human_save,79,small,2,455.6,no,2026-01-14T11:00:33Z
cli/cli,12428,ci: tag per build job,yes,machine_catch,18,small,0,0.2,no,2026-01-06T17:15:45Z
cli/cli,12393,Update actions/checkout to v6 in extension workflow templates,yes,machine_catch,4,small,0,196.1,no,2026-01-07T18:46:03Z
cli/cli,12425,CI: Update Azure Code Signing endpoint URL,no,machine_catch,2,small,0,0.2,no,2026-01-05T20:55:14Z
cli/cli,12424,CI: Update Azure Code Signing client to 1.0.95,yes,machine_catch,2,small,0,0.2,no,2026-01-05T19:02:03Z
cli/cli,12289,Bump sigstore-go to v1.1.4,no,machine_catch,157487,large,0,649.8,no,2026-01-07T17:00:54Z
